Nombre,Anyo,Roles,Peliculas,Premios
Mike Epps,1970,Reparto. Producción. Guion,"Resident Evil 2: Apocalipsis, Friday After Next, Resacón en Las Vegas",Otros premios
Nigel Washington,-1,Edición. Reparto. Dirección de fotografía y cámara,"The Fighting Temptations, S T U D E N T S, Glam Divos",No tiene premios
Chloe Bailey,1998,Reparto. Composición. Dirección,"Las últimas vacaciones, Praise This, Un pliegue en el tiempo",Otros premios
Demetress Long,-1,Reparto,"The Fighting Temptations, Treme, All of Us",No tiene premios
Ann Nesby,1955,Reparto. Composición. Producción,"Superdetective en Hollywood III, Una relación peligrosa, Precious",Otros premios
Faith Evans,1973,Music Artist. Reparto. Producción,"Plan de chicas, Puff Daddy Feat. Faith Evans & 112: I'll Be Missing You, The Fast and the Furious (A todo gas)",Otros premios
Melba Moore,1945,Reparto. Equipos adicionales. Dirección,"Todos los perros van al cielo, Hair, Purlie",Otros premios
Rosalie Washington,-1,Reparto,"The Fighting Temptations, American Violet",No tiene premios
Steve Parlavecchio,-1,Reparto,"Bandwagon, Picket Fences, Mr. Id",Otros premios
Arthur J. Nascarella,1944,Reparto. Guion. Equipos adicionales,"Los Soprano, The Cooler, Una mala jugada",Otros premios
Stacie Mistysyn,1971,Reparto. Música,"Colegio Degrassi, Degrassi: La nueva generación, School's Out!",Otros premios
Ralph Caputo,-1,Reparto,Jersey Guy,No tiene premios
Jill Wolfe,-1,Producción. Reparto,"Jersey Guy, Dangerous Grounds, Money Hunters",No tiene premios
Tom Borrillo,-1,Reparto,"Al descubierto, Daria, Misogyny",No tiene premios
Vincent Tufariello,-1,Reparto,Jersey Guy,No tiene premios
Roosey Khawly,-1,Reparto. Producción,Jersey Guy,No tiene premios
David Stepkin,-1,Reparto,"Quiz Show (El dilema), Atajo a la felicidad, Cadillac Man",No tiene premios
Vickie Thaw,-1,Reparto,Jersey Guy,No tiene premios
Rudy Giuliani,1944,Reparto. Banda sonora,"Ejecutivo agresivo, Ley y orden, Cosby",Otros premios
Dom DeLuise,1933,Reparto. Dirección. Guion,"Los locos del Cannonball, Sillas de montar calientes, Nimh: El mundo secreto de la señora Brisby",Otros premios
Frank Vincent,1937,Reparto. Producción. Equipos adicionales,"Uno de los nuestros, Los Soprano, Casino",Otros premios
Kenneth Favre,-1,Reparto,Remembering Mario,No tiene premios
Val Franco,-1,Dirección. Reparto. Guion,"Remembering Mario, Vampire Lesbian Kickboxers",No tiene premios
Gerry Sanseviero,-1,Reparto. Arte. Guion y continuidad,"L'Inverno (The Winter), Celebrity Deathmatch, Remembering Mario",No tiene premios
Todo Segalla,-1,Reparto. Equipos adicionales. Especialistas,"Future Girl, The Director's Cut, Todos mis hijos",No tiene premios
Antonia Sisti,-1,Reparto,Remembering Mario,No tiene premios
Rosa Navarra,-1,Vestuario. Reparto. Dirección de la segunda unidad o asistencia a dirección,"En carne viva, JailCity, Paper Soldiers",No tiene premios
Melissa Palazzo,-1,Reparto. Equipos adicionales. Producción,"We Are Love, American Experience",No tiene premios
Peter DeLuise,1966,Producción. Dirección. Reparto,"Stargate SG-1, Stargate: Atlantis, Nuevos policías",Otros premios
Lisa Rotondi,1972,Reparto,"Jerry Maguire, The O.C., The Mating Habits of the Earthbound Human",No tiene premios
Marco Sanchez,-1,Reparto. Producción. Guion,"Star Trek: En la oscuridad, Super 8, El novato",Otros premios
Elyssa Davalos,-1,Reparto. Producción. Guion,"MacGyver, Tycus, Diagnóstico asesinato",No tiene premios
Carol Arthur,1935,Reparto,"Sillas de montar calientes, La aventura del Intrépido, Las locas, locas aventuras de Robin Hood",No tiene premios
David DeLuise,1971,Reparto. Dirección. Producción,"Patrulla de aterrizaje, Los magos de Waverly Place: Vacaciones en el Caribe, Pup Star",Otros premios
Jack McGee,1949,Reparto,"The Fighter, Gangster Squad. Brigada de élite, Moneyball: Rompiendo las reglas",Otros premios
Shawna Casey,-1,Reparto,"Eerie, Indiana, El camino de la traición, The Job",No tiene premios
Dan Bell,-1,Reparto. Especialistas. Producción,"Wayne's World: ¡Qué desparrame!, Darkman, 60 segundos",Otros premios
Jack Esformes,-1,Reparto,"La cortina de humo, G vs E, Seinfeld",No tiene premios
Seera Backhouse,-1,Reparto,Dominator,No tiene premios
Doug Bradley,1954,Reparto. Maquillaje. Dirección,"Hellraiser III. Infierno en la Tierra, Hellraiser 4 El final de la dinastía sangrienta, Hellraiser: Los que traen el infierno",Otros premios
Alex Cox,1954,Reparto. Dirección. Guion,"Repo man (El recuperador), Sid y Nancy, Searchers 2.0",Otros premios
Dani Filth,-1,Reparto. Música. Composición,"Resident Evil 2: Apocalipsis, La madre del mal, Brütal Legend",No tiene premios
Liza Goddard,-1,Reparto. Banda sonora,"Doctor Who, Woof!, The Intruders",No tiene premios
Tara Harley,-1,Reparto. Guion. Maquillaje,"The World Can Wait, As We Are, Dominator",No tiene premios
Ingrid Pitt,1937,Reparto. Guion,"El hombre de mimbre, El desafío de las águilas, Las amantes del vampiro",No tiene premios
Marc Riley,-1,Música. Reparto. Guion,"El silencio de los corderos, Rango, The Souvenir",No tiene premios
Sarn Synthetic,-1,Reparto,Dominator,No tiene premios
George Clooney,1961,Reparto. Producción. Dirección,"Michael Clayton, Up in the Air (Amor sin escalas), Los idus de marzo",Ganó 2 premios Óscar
Catherine Zeta-Jones,1969,Reparto. Banda sonora,"Chicago, La máscara del Zorro, Traffic",Ganó 1 premio Óscar
Billy Bob Thornton,1955,Reparto. Guion. Dirección,"El otro lado de la vida, Un plan sencillo, El hombre que nunca estuvo allí",Ganó 1 premio Óscar
Geoffrey Rush,1951,Reparto. Producción. Guion,"El discurso del rey, Shakespeare in Love (Shakespeare enamorado), Quills",Ganó 1 premio Óscar
Cedric The Entertainer,1964,Reparto. Producción. Guion,"La barbería, Be Cool, Vacaciones en familia",Otros premios
Edward Herrmann,1943,Reparto. Equipos adicionales. Banda sonora,"Un mar de líos, Jóvenes ocultos, Nixon",Ganó 1 premio Primetime Emmy
Paul Adelstein,1969,Reparto. Producción. Guion,"Crueldad intolerable, El mundo de los perdidos, El menú",No tiene premios
Richard Jenkins,1947,Reparto. Producción. Banda sonora,"La forma del agua, The visitor, Hermanos por pelotas",Nominado para 2 premios Óscar
Julia Duffy,1951,Reparto. Banda sonora,"Newhart, Crueldad intolerable, Chicas con clase",Nominado para 7 premios Primetime Emmy
Jonathan Hadary,1948,Reparto. Banda sonora,"Crueldad intolerable, La princesa cisne, Tiempo de matar",Otros premios
Linda Black,-1,Reparto,"Nobody Knows Anything!, Twelve",No tiene premios
Alan Blumenfeld,1952,Reparto. Producción. Equipos adicionales,"Héroes, El puente de Brooklyn, Asesinato justo",No tiene premios
Carmine Caridi,1934,Reparto. Banda sonora,"El padrino parte II, El padrino parte III, Esta casa es una ruina",No tiene premios
Margaret Cho,1968,Reparto. Producción. Guion,"Margaret Cho: PsyCHO, Rockefeller Plaza, All-American Girl",Nominado para 1 premio Primetime Emmy
