Título,Puntuación IMDb,Directores,Guionistas,Argumento,ID
Der Unfisch,"6,4",,,No disponible,tt0114502
Cambio de hábitos,"5,8",Lynn Roth,"Scott Davis,  Jones","Una artista decide dejar atrás sus problemas con los hombres y los desalojos mudándose a un convento, para poder trabajar para ganarse la vida. ¿Es su arte una oportunidad para que las hermanas salven el convento del cierre?",tt0115865
Always Say Goodbye,"5,0",Joshua Beckett,Joshua Beckett,"A sexy, free spirit meets her match in a photographer and serial bachelor. Both of them turn up the personal fires, but neither can commit. Starring Marcia Cross and Joshua Beckett.",tt0115524
Loose Women,"4,4",,,No disponible,tt0116914
En brazos de la mujer madura,"6,2",,,No disponible,tt0116193
Last Chance Love,"4,9",,,No disponible,tt0116826
Hufters & Hofdames,"6,8",,,No disponible,tt0116577
Madera a la deriva,"5,4",,,No disponible,tt0112904
El pequeño ladrón de Ulan Bator,"6,5",,,No disponible,tt0108098
Luces de la noche,"4,6",,,No disponible,tt0110404
La dame du jeu,"7,0",,,No disponible,tt0112784
Xiu Xiu,"7,5",,,No disponible,tt0115005
The Brylcreem Boys,"6,2",,,No disponible,tt0115770
Enemy,"5,3",,,No disponible,tt0116202
Jaded,"5,4",Caryn Krooth,"Wendy Olinger, Caryn Krooth","At the local bar, one drink leads to another, and Megan ends up skinny-dipping with Pat and Alex. And then, comes the rape. Now, she wants justice; but is she as innocent as she thinks? In the end, what really happened that fateful night?",tt0116675
Die kaukasische Nacht,"8,0",,,No disponible,tt0116753
Ku jia tian xia,"6,3",,,No disponible,tt0095469
Drei Herren,"6,9",,,No disponible,tt0112901
Cláusula de escape,"6,0",Alan Cohn,"Anthony Abrams, Adam Larson,  BroderMichael Traeger","Josh es estudioso, Cooper es vida más holgazán, contagia a Josh, y pronto están en peligro de reprobar. Pero una regla de la universidad le otorga un 10 a quienes hayan sufrido el trauma del suicidio de un compañero de cuarto.",tt0118301
Abril,"6,9",,,No disponible,tt0118635
Demasiado profundo,"6,6",David Dobkin,Matthew L. Healy,"After hearing that his wife sleeps with Clay, Earl kills himself, making it look like Clay shot him. The widow doesn't like it when Clay starts sees another woman instead. Bodies start piling up.",tt0118863
Bulworth,"6,8",Warren Beatty,"Warren Beatty, Jeremy Pikser","Un político liberal suicidamente desilusionado firma un contrato consigo mismo y aprovecha la oportunidad para ser francamente honesto con sus votantes, afectando a los ritmos y al discurso de la música y la cultura hip-hop.",tt0118798
Dieu seul me voit,"6,9",,,No disponible,tt0118978
Amaneció de golpe,"5,8",,,No disponible,tt0112340
Kabhi Na Kabhi,"4,2",,,No disponible,tt0116737
Medidas desesperadas,"6,1",,,No disponible,tt0118966
El espíritu de Brooklyn,"5,5",,,No disponible,tt0118782
Airboss II: Preemptive Strike,"3,5",,,No disponible,tt0118569
Deep Rising: El misterio de las profundidades,"6,1",Stephen Sommers,Stephen Sommers,"Un grupo de secuestradores fuertemente armados aborda un lujoso transatlántico para saquearlo, solo para luchar contra una serie de criaturas marinas de gran tamaño, con tentáculos y devoradoras de hombres, que ya habían invadido el barco.",tt0118956
Juego mortal,"4,6",,,No disponible,tt0118869
Holocausto samurai,"6,4",Lance Mungia,"Jeffrey Falcon, Lance Mungia","In the post-apocalyptic world of 1990s Nevada, a rock 'n' roll samurai on his way to Lost Vegas takes a young orphan boy under his protection as Death and his metalhead Horsemen chase after them.",tt0118736
Lurid Tales: The Castle Queen,"3,7",,,No disponible,tt0116943
Vino iz oduvanchikov,"7,1",,,No disponible,tt0115412
El chico de la selva,"3,6",Allan A. Goldstein,"John Lawson, Damian Lee, Ashok Amritraj",A boy living harmoniously with animals in the jungles of India helps an archaeologist thwart a greedy treasure hunter.,tt0116727
Animals with the Tollkeeper,"6,7",,,No disponible,tt0118621
Dark City,"7,6",Alex Proyas,"Alex Proyas, Lem Dobbs, David S. Goyer","Un hombre lucha con los recuerdos de su pasado, que incluyen una esposa que no recuerda y un mundo de pesadilla del que nadie parece despertar.",tt0118929
Dr. Dolittle,"5,4",Betty Thomas,"Hugh Lofting, Nat Mauldin, Larry Levin",Un doctor descubre que puede comunicarse con los animales.,tt0118998
Decampitated,"4,6",,,No disponible,tt0118951
Shadowbuilder (La sombra del mal),"4,8",Jamie Dixon,"Michael Stokes, Bram Stoker","En un rito diabólico, se emplaza a una criatura maligna a destruir el mundo. Éste comienza entonces a cobrarse víctimas, pero a quien busca realmente es a un niño, que es el que tiene el potencial para detener su destrucción.",tt0117611
Gut Pile,"3,5",,,No disponible,tt0119240
El fantasma de la ópera,"4,3",Dario Argento,"Gaston Leroux, Gérard BrachDario Argento","Gory remake of the Gaston Leroux classic story, only this time, the phantom is not disfigured, but a man who was raised by rats deep under the Paris Opera House.",tt0119889
Phantoms,"5,4",Joe Chappelle,Dean R. Koontz,"En la pacífica ciudad de Snowfield, Colorado, algo malvado ha acabado con la comunidad. Y ahora, depende de un grupo de personas detenerlo, o al menos salir con vida de Snowfield.",tt0119891
Conflicto de intereses,"5,7",,,No disponible,tt0119196
Fallen,"7,0",Gregory Hoblit,Nicholas Kazan,"El detective de homicidios John Hobbes presencia la ejecución del asesino en serie Edgar Reese. Poco después de la ejecución, los asesinatos comienzan de nuevo, y son muy similares al estilo de Reese.",tt0119099
¿Dónde está Marlowe?,"6,0",Daniel Pyne,"John Mankiewicz, Daniel Pyne","After making a 3-hour fiasco about New York City's water supply, a two-man film crew decides to take it up a notch by documenting life in the private investigator offices of ""Boone and Murphy"".",tt0118150
Doble juego,"5,6",Roland Joffé,"Ron Peer, Joel Cohen, Alec Sokolow","Sandra, casada con Jake, tiene un romance secreto con su cuñado Ben. Este último desaparece misteriosamente cuando Sandra descubre su atracción por Peggy, quien esconde un lado oscuro.",tt0119219
Fotografía mortal,"5,5",,,No disponible,tt0119416
Cartas de un asesino,"5,4",David Carson,"Nicholas Hicks, -BeachShelley Miller, John Foster","Race Darnell es un convicto acusado de homicidio. En la cárcel, mantiene relaciones por correspondencia con cuatro mujeres diferentes. A causa de la venganza de uno de los dos carceleros, recibirá amenazas de muerte.",tt0119522
Al caer el sol,"6,2",Robert Benton,"Robert Benton, Richard Russo","Un detective retirado acepta una tarea simple, sin darse cuenta de que desgarrará heridas viejas y olvidadas, pero mortales.",tt0119594
Long Time Since,"4,7",Jay Anania,Jay Anania,"A woman laments for years following an unseen object that she struck with her car on a New Years Eve back at the turn of the year in 1972. She lives in a stark apartment with an equally isolated individual her only seeming friend. Into her life comes a near-silent man, who seemingly aimlessly wanders the city, and a small town waitress, who may hold the key to everyth... Leer todo",tt0119559
Dead Letter Office,"6,4",,,No disponible,tt0118939
Los que me quieren cogerán el tren,"6,3",Patrice Chéreau,"Danièle ThompsonPatrice Ch, éreauPierre Trividic","Friends of a recently deceased minor painter Jean-Baptiste take a train in Paris for Limoges, where he wished to be buried, and all the people on the train have their problems.",tt0118834
Frauen lügen nicht,"3,8",,,No disponible,tt0119149
Semillas de duda,"5,1",,,No disponible,tt0117593
Boogie Boy,"5,0",Craig Hamann,Craig Hamann,"A man who has just been released from prison vows to start a new life, but is put in danger when a drug addict cellmate appears.",tt0118748
Relación mortal,"5,5",Jonathan Darby,"Jonathan Darby, Jane Rusconi","Una pareja de Nueva York decide irse al campo a iniciar una familia. Sin embargo, algo va muy mal con su madre.",tt0118744
Trueno negro,"3,7",Rick Jacobson,William C. Martell,"A top secret stealth fighter is stolen. Only Navy Test Pilot Vince Connors can recover the plane and bring it back in one piece. Battling terrorists, and flying with deadly nerve gas, he has to evade his mentor, now the enemy's top pilot.",tt0118732
Alissa,"5,2",,,No disponible,tt0118584
Sangharsh,"6,7",,,No disponible,tt0111068
El corredor de la muerte: Malevolence,"6,0",,,No disponible,tt0113747
Two-Eleven,"6,0",,,No disponible,tt0114758
Die Wand,"6,6",,,No disponible,tt0114890
Ghost Taxi,"5,8",,,No disponible,tt0116408
Jimmy Zip,"5,3",Robert McGinley,"Robert Mc, Ginley",An abused runaway with pyromaniac tendencies teams up with a metal sculptor. Together they blow away the art world and a local crime boss.,tt0116703
La gran rueda del poder,"5,3",George Hickenlooper,"Orson Welles, Oja Kodar, F.X. Feeney","Blake Pellarin is on the campaign trail to become Governor of the state of Missouri. During his stop in St. Louis, a chance encounter brings his past roaring back to haunt him. Will the truth ruin his chances to be elected, or will he land the ""Big Brass Ring""?",tt0115675
Traición en la mafia,"4,4",,,No disponible,tt0119028
Making Waves,"7,1",,,No disponible,tt0110445
La mujer de mi profesor,"5,5",Bruce Leddy,Seth Greenland,A high school student has a romantic affair with his math tutor only to discover she is married to his math teacher.,tt0112444
Do You Wanna Dance?,"6,1",Michael A. Nickles,Robert Krantz,"Billy Duncan, a dance instructor, has fallen on hard times and is sentenced to community service time. His assignment? To give dance lessons to elderly parishioners at a local Greek church. Reluctant at first, Billy soon finds himself falling in love with a wealthy parishioner's daughter. With the help of an off-beat Priest, Billy is inspired into teaching dance again... Leer todo",tt0118994
Unos peques geniales,"2,6",Bob Clark,"Steven Paul, Francisca Matos, Robert Grasmere","Unos científicos tienen cautivos a bebés superinteligentes que hablan, pero las cosas se complican cuando se produce una confusión entre un bebé genio y su gemelo.",tt0118665
Naisen logiikka,"3,3",,,No disponible,tt0117148
Predators from Beyond Neptune,"4,7",,,No disponible,tt0119936
Las bodas de Dios,"7,2",,,No disponible,tt0119413
Full Blast,"5,9",,,No disponible,tt0119163
Armageddon Boulevard,"6,3",Donald G. JacksonScott Shaw,Donald G. JacksonScott Shaw,,tt0118853
Payback,"7,1",Brian Helgeland,"Donald E. WestlakeBrian Helgeland, Terry Hayes","Tras un exitoso atraco, Porter es dado por muerto. Una vez recuperado, busca venganza y quiere su parte del dinero.",tt0120784
Velocity Trap,"4,5",Phillip J. Roth,"Patrick Phillips, Phillip J. Roth",A cop framed for murder is the only one not in cryosleep when a team of thieves boards the armored treasury spaceship he's on to steal its load - 40 billion universal dollars - and then ram the ship into a comet to cover their tracks.,tt0120435
Virus,"5,0",John Bruno,"Chuck Pfarrer, Dennis Feldman","Cuando la tripulación de un remolcador estadounidense aborda un barco de investigación ruso abandonado, la forma de vida extraterrestre a bordo los considera un virus que debe ser destruido.",tt0120458
Star Wars: Episodio I - La amenaza fantasma,"6,5",George Lucas,George Lucas,Dos caballeros jedi escapan de un bloqueo hostil para ir en busca de aliados y conocen a un joven que podría restaurar el equilibrio en la Fuerza. Pero los previamente inactivos sith resurgen para reclamar su antigua gloria.,tt0120915
Babel,"3,6",,,No disponible,tt0118664
Nachtvlinder,"4,9",,,No disponible,tt0119751
Toy Story 2,"7,9",John LasseterAsh BrannonLee Unkrich,"John Lasseter, Pete Docter, Ash Brannon","Cuando Woody es secuestrado por un coleccionista de juguetes, Buzz y sus amigos emprenden una misión de rescate, pero Woody encuentra tentadora la idea de ser inmortalizado en un museo.",tt0120363
Fantasía 2000,"7,1",James AlgarGaëtan BrizziPaul Brizzi,"Eric Goldberg, James Fujii, Joe Grant",Actualización de la película original con nuevas interpretaciones de grandes obras de la música clásica.,tt0120910
Cómo ser John Malkovich,"7,7",Spike Jonze,Charlie Kaufman,Un titiritero descubre un portal que conduce literalmente al jefe de la estrella de cine John Malkovich.,tt0120601
"Beowulf, la leyenda","4,1",Graham Baker,"AnonymousMark Leahy, David Chappe","En una tierra sitiada, Beowulf debe luchar contra la espantosa criatura Grendel y su madre que busca venganza.",tt0120604
The Mummy (La momia),"7,1",Stephen Sommers,"Stephen Sommers, Lloyd Fonvielle, Kevin Jarre","En una excavación arqueológica en la antigua ciudad de Hamunaptra, un estadounidense despierta accidentalmente a una momia que comienza a causar estragos mientras busca la reencarnación de su amor perdido.",tt0120616
Hellblock 13,"4,1",,,No disponible,tt0119277
Townies,"4,5",,,No disponible,tt0120361
The Coroner,"2,8",,,No disponible,tt0121152
La sombra del silencio,"4,6",Allan A. Goldstein,Tony Kayden,"A detective (Jeff Fahey) investigating the murders of two sex offenders gets involved with a beautiful district attorney (Marlee Matlin), who becomes the main suspect.",tt0120500
Sueños rotos,"6,4",Jonathan Kaplan,"Adam Fields, David Arata",Dos mujeres son arrestadas por contrabando durante sus vacaciones en Tailandia.,tt0120620
Foreign Correspondents,"6,2",,,No disponible,tt0123078
Eyes Wide Shut,"7,5",Stanley Kubrick,"Stanley Kubrick, Frederic Raphael, Arthur Schnitzler",Un médico de la ciudad de Nueva York se embarca en una angustiosa odisea nocturna de descubrimiento sexual y moral después de que su esposa le revele un doloroso secreto.,tt0120663
Ojos que te acechan,"5,0",Stephan Elliott,"Marc Behm, Stephan Elliott","Un experto en espionaje trabaja para los servicios secretos cuando una mujer mata a uno de los sujetos que está custodiando. En lugar de denunciar el hecho, el hombre acaba enamorándose de ella.",tt0120662
La milla verde,"8,6",Frank Darabont,"Stephen King, Frank Darabont","Las vidas de los guardias del corredor de la muerte se ven afectadas por uno de sus reclusos: un hombre negro acusado de asesinato y violación de niños, pero que tiene un misterioso don.",tt0120689
...Quando Troveja,"5,5",,,No disponible,tt0120798
Mientras nieva sobre los cedros,"6,7",Scott Hicks,"David Guterson, Ron Bass, Scott Hicks","Un japonés es acusado del asesinato de un pescador. Durante el juicio, el periodista que se encarga de efectuar la cobertura del proceso, reconoce a la esposa del acusado, su gran amor de juventud interrumpido cuando estalló la S.G.M.",tt0120834
eXistenZ,"6,8",David Cronenberg,David Cronenberg,Una diseñadora de videojuegos que se esconde de unos asesinos tiene que jugar su última creación de realidad virtual con un aprendiz de marketing para ver si el juego ha sido dañado.,tt0120907
Onegin,"6,8",Martha Fiennes,"Peter Ettedgui, Alexander Pushkin, Michael Ignatieff","Onegin hereda la finca de su tío y se muda allí desde San Petersburgo. Se hace amigo de su vecino, Lensky, y conoce a Tatyana a través de él. Ella se enamora de Onegin pero él solo quiere amistad.",tt0119079
My Girlfriend's Boyfriend,"4,9",,,No disponible,tt0119740
Un marido ideal,"6,8",Oliver Parker,"Oscar Wilde, Oliver Parker","Londres, 1895: El ministro del gabinete, Sir Chiltern, y el soltero, Lord Goring, son víctimas de mujeres confabuladoras.",tt0122541
Pasión salvaje,"3,6",,,No disponible,tt0117617
Morella,"3,6",,,No disponible,tt0119705
Godmoney,"4,5",,,No disponible,tt0119208
Night of the Coyote,"8,1",,,No disponible,tt0119786
Dementia,"4,4",,,No disponible,tt0120416
