Título,Puntuación IMDb,Directores,Guionistas,Argumento,ID
Astro Boy,"6,2",David Bowers,"Osamu Tezuka, David Bowers, Timothy Harris","Cuando un androide réplica de un niño es rechazado por su afligido creador, sale a buscar su propia identidad en una aventura que lo convertirá en el mayor héroe de su tiempo.",tt0375568
Terror en la Antártida,"5,5",Dominic Sena,"Jon Hoeber, Erich Hoeber, Chad Hayes","En Antártica, el sol está a punto de ponerse para los próximos seis meses y la marshal Carrie Stetko da caza a un asesino.",tt0365929
Sterling: The Secret of the Lost Medallion,"5,9",,,No disponible,tt0373340
Watchmen,"7,6",Zack Snyder,"Dave Gibbons, David Hayter, Alex Tse","En 1985, donde existen antiguos superhéroes, el asesinato de un colega envía al activo vigilante Rorschach a su propia investigación, descubriendo algo que podría cambiar completamente el curso de la historia tal y como la conocemos.",tt0409459
Harry Potter y el misterio del príncipe,"7,6",David Yates,"Steve Kloves, J.K. Rowling","Cuando Harry Potter empieza su sexto año en Hogwarts, descubre un viejo libro marcado como propiedad del príncipe mestizo y comienza a aprender más sobre el oscuro pasado de Lord Voldemort.",tt0417741
Royal Kill,"2,9",Bob Ahmed,Bob Ahmed,"Mujer asesina recibe el encargo de matar al heredero himalayo en EE.UU. Un guardia real es enviado para salvaguardarlo. Cuando se conocen, ambos deben decidir entre el deber y algo más profundo que está surgiendo entre ellos.",tt0421237
The Magic Stone,"6,4",,,No disponible,tt0293354
Malice in Wonderland,"5,8",Simon Fellows,Jayson Rothwell,"A modern take on the classic fairytale, Alice in Wonderland, set in the North East of England.",tt0374853
The Lovely Bones,"6,6",Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson",En torno a una niña que ha sido asesinada y cuida de su familia - al tiempo que observa a su asesino - des del purgatorio. Tendrá que encontrar el equilibrio entre su deseo de venganza y su deseo de reconfortar a su familia.,tt0380510
Donde viven los monstruos,"6,7",Spike Jonze,"Spike Jonze, Dave Eggers, Maurice Sendak","Una adaptación de la historia infantil clásica de Maurice Sendak, en la que Max, un niño pequeño y desobediente es enviado a la cama sin su cena, crea su propio mundo--un bosque habitado por feroces criaturas salvajes quienes coronan Max como su gobernante.Reseña anónima (Traducida por IMDb.es)",tt0386117
T.M.A.,"4,7",,,No disponible,tt0289146
El libro de piedra,"4,1",,,No disponible,tt0353665
Posesión,"5,4",Joel BergvallSimon Sandquist,"Michael Petroni, Won-mi ByunMin-ho Song","Jess tiene la desgracia de ver cómo su marido y el hermano de éste caen en coma tras un accidente de coche. Cuando su cuñado despierta, le dice a ella que él es realmente su marido. Ella deberá entender qué es lo que realmente sucede.",tt0368563
It Came from Trafalgar,"7,0",,,No disponible,tt0425141
Cabeza de pescado,"7,6",,,No disponible,tt0431670
Daybreakers,"6,4",Michael SpierigPeter Spierig,"Michael Spierig, Peter Spierig","En 2019, una plaga ha convertido a casi todos en vampiros. Dado el poco suministro de sangre, la raza dominante planea su supervivencia; mientras, un investigador trabaja con un grupo de vampiros encubiertos para salvar a la humanidad.",tt0433362
Cabras,No disponible,,,No disponible,tt0436154
La masacre de Town Creek,"5,3",,,No disponible,tt0450336
Moonlight Blade,No disponible,,,No disponible,tt0121569
Cargo,"6,1",Ivan EnglerRalph Etter,"Arnold Bucher, Ivan Engler, Patrik Steinmann","Dr. Laura P. takes a job on a cargo spaceship for 4 years plus 4 years back. She'll join her sister on Rhea. 44 months later, in Laura's shift, strange things happen in cargo. The crew is reanimated and the captain dies mysteriously.",tt0381940
House of Boys,"6,5",Jean-Claude Schlim,"Jean-Claude Schlim, Christian Thiry, Robert David,  Graham","Dos jóvenes almas gemelas se encuentran mientras trabajan en un club para hombres. Eventualmente, uno contrae el SIDA.",tt0405022
Rebelión adolescente,"6,4",Miguel Arteta,"Gustin Nash, C.D. Payne","Mientras sus horribles padres se tambalean al borde del divorcio, Nick Twisp pone su mirada en la chica de sus sueños Sheeni Saunders, con la esperanza de que ella sea la que le quite la virginidad.",tt0403702
Utolsó jelentés Annáról,"6,6",,,No disponible,tt0407852
The Perfect Sleep,"4,4",Jeremy Alter,Anton Pardoe,"Against the backdrop of a noirish dreamscape, a tortured man returns to the city he swore he would never return to, in order to save the woman he has always loved yet can never have.",tt0435716
AmerAsian,"6,7",Roger Lim,Roger Lim,"Eric, an American-born Asian college graduate, must steal a younger student's identity to take back the one last year of baseball eligibility that he lost when his dad passed away. Monica, his coach's All-American co-ed daughter, must ascertain her own questionable identity to come to terms with the years of abuse that she suffered after her mother passed away. Throug... Leer todo",tt0437065
Why George?,"8,1",,,No disponible,tt0437550
Kisse Pyaar Karoon?,"3,5",,,No disponible,tt0438894
Yesterday Was a Lie,"5,2",James Kerwin,James Kerwin,"Hoyle, a girl with a sharp mind and a weakness for bourbon, finds herself on the trail of a reclusive genius. But her work takes a series of unforeseen twists as events around her grow increasingly fragmented... disconnected... surreal. With an ethereal lounge singer and her loyal partner as her only allies, Hoyle is plunged into a dark world of intrigue and earth-sha... Leer todo",tt0448182
1,"6,0",,,No disponible,tt0408060
